大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
国家税务总局德州市税务局办税缴费系统服务热线购买服务项目公开招标公告,国家税务总局德州市税务局办税缴费系统服务热线购买服务项目,服务/信息技术服务/呼叫中心服务,国家税务总局德州市税务局,德州市,2022年01月23日  17:04,"2022年01月24日至2022年01月28日, 每日上午:8:30 至 12:00  下午:12:30 至 17:00（北京时间，法定节假日除外）",￥300,济南市经十路5777号万科金域中心A座2803室,2022年02月14日  09:00,济南市经十路5777号万科金域中心A座28楼开标室,￥123.200000万元（人民币）,苏靖超,0534-2383568,德州市湖滨中大道1118号,苏靖超  0534-2383568,山东广信招标有限责任公司,济南市经十路5777号万科金域中心A座2803室,孙祥波、于思凡0531-67800156,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547899.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547899.htm
北京科技大学国际学生公寓公共盥洗室橱柜采购公开招标公告,北京科技大学国际学生公寓公共盥洗室橱柜采购,货物/家具用具/柜类/其他柜类,北京科技大学,北京市,2022年01月23日  18:11,"2022年01月24日至2022年01月28日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥500,北京中教仪国际招标代理有限公司512室，北京市海淀区文慧园北路10号,2022年02月16日  14:00,北京中教仪国际招标代理有限公司604会议室，北京市海淀区文慧园北路10号,￥150.000000万元（人民币）,施歌、俞学东、杨硕,010-59893121、010-59893109、010-59893129,北京市海淀区学院路30号,何老师，010-62332135,北京中教仪国际招标代理有限公司,北京市海淀区文慧园北路10号,施歌、俞学东、杨硕，010-59893121、010-59893109、010-59893129,采购需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547951.htm,报名登记表-单位名称.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547951.htm
国家税务总局荆门市东宝区税务局信息化设备采购公开招标公告,国家税务总局荆门市东宝区税务局信息化设备采购,货物/通用设备/通信设备/传真及数据数字通信设备/数据、多媒体通信终端设备,国家税务总局荆门市东宝区税务局,东宝区,2022年01月23日  18:23,"2022年01月24日至2022年01月28日, 每日上午:8:30 至 12:00  下午:14:30 至 18:00（北京时间，法定节假日除外）",￥300,荆门市华奥招标代理有限公司(荆门市象山大道24号),2022年02月17日  15:00,荆门市华奥招标代理有限公司会议室（荆门市象山大道24号）,￥296.750000万元（人民币）,王莉,0724-2225656,荆门市金龙泉大道36号,陈先生 顿女士　0724-2383450,荆门市华奥招标代理有限公司,荆门市象山大道24号,王莉0724-2225656 13972918366,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547958.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220123_17547958.htm
中华人民共和国应急管理部应急管理大数据工程及自然灾害监测预警信息化工程应急管理部建设部分标准化管理系统项目(第二次）公开招标公告,应急管理大数据工程及自然灾害监测预警信息化工程应急管理部建设部分标准化管理系统项目,"服务/信息技术服务/软件开发服务/应用软件开发服务/行业应用软件开发服务,服务/信息技术服务/软件开发服务/应用软件开发服务/通用应用软件开发服务",中华人民共和国应急管理部,北京市,2022年01月24日  09:27,"2022年01月24日至2022年01月29日, 每日上午:8:30 至 11:30  下午:12:00 至 16:30（北京时间，法定节假日除外）",￥500,北京国际贸易有限公司第二业务部208室（北京市朝阳区建国门外大街甲3号）,2022年02月14日  09:30,北京国际贸易有限公司第一开标室（北京市朝阳区建国门外大街甲3号）,￥102.910000万元（人民币）,赵齐霁,13426327795,北京市西城区广安门南街70号,丁老师，010-64463503,北京国际贸易有限公司,北京市朝阳区左家庄路2号北京博瑞祥恒汽车销售有限公司南门内白楼二层,关敬辉、赵齐霁，010-65072273,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548310.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548310.htm
中国科学院合肥物质科学研究院等离子所研究生公寓楼家具采购及安装项目公开招标公告,中国科学院合肥物质科学研究院等离子所研究生公寓楼家具采购及安装项目,货物/家具用具/组合家具,中国科学院合肥物质科学研究院,合肥市,2022年01月24日  09:40,"2022年01月24日至2022年01月29日, 每日上午:8:00 至 12:00  下午:14:30 至 17:00（北京时间，法定节假日除外）",￥800,合肥市包河区九华山路与马鞍山路交口世纪阳光大厦1102室,2022年02月16日  09:30,合肥市蜀山区科学岛2号楼232会议室,￥215.000000万元（人民币）,邓工/孙工,0551-68164290、62586899,安徽省合肥市科学岛,郭自松 0551-65591258 ,安徽万隆建设项目管理有限公司,合肥市包河区九华山路与马鞍山路交口世纪阳光大厦1102室,邓工/孙工  0551-68164290、62586899,采购需求.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548466.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548466.htm
某单位某部校车租赁采购项目公开招标公告,某部校车租赁采购项目,服务/租赁服务（不带操作员）/其他租赁服务,某单位,徐州市,2022年01月24日  10:44,"2022年01月24日至2022年01月29日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥200,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室。,2022年02月16日  15:30,江苏海外集团国际工程咨询有限公司徐州分公司开标室（江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1017室）。,￥0.000000万元（人民币）,孙逊,0516-83999055,江苏省徐州市,李先生18955275991,江苏海外集团国际工程咨询有限公司,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室,孙逊0516-83999055,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548702.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548702.htm
新疆出入境边防检查总站博乐市戍边公寓及乌鲁木齐警犬训练基地家电采购项目招标公告,新疆出入境边防检查总站博乐市戍边公寓及乌鲁木齐警犬训练基地家电采购项目,,中华人民共和国新疆出入境边防检查总站,乌鲁木齐市,2022年01月24日  14:24,"2022年01月10日至2022年02月13日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月14日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥504.000000万元（人民币）,王震,010-55602563,新疆维吾尔自治区乌鲁木齐市天山区团结路1551号,0991-8512159,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549593.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549593.htm
中国科学院高能物理研究所X射线探测器采购项目公开招标公告,中国科学院高能物理研究所X射线探测器采购项目,"货物/通用设备/仪器仪表/其他仪器仪表,货物/通用设备/仪器仪表/分析仪器/其他分析仪器",中国科学院高能物理研究所,北京市,2022年01月24日  10:47,"2022年01月24日至2022年01月29日, 每日上午:9:00 至 11:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥600,www.o-science.com,2022年02月16日  14:00,中国科学院高能物理研究所主楼A418会议室,￥120.000000万元（人民币）,耿佳 王淑文 张维,010-68290515/0513/68917583,北京市石景山区老山街道玉泉路19号乙,高学云 13366139863,东方国际招标有限责任公司,北京市海淀区西三环北路甲2号院科技园6号楼13层01室,耿佳 王淑文 张维 010-68290515/0513/68917583 jgeng@oitc.com.cn,0288技术部分.doc-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548730.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548730.htm
上海交通大学李政道研究所低温磁场系统国际公开招标公告（重招）,上海交通大学李政道研究所低温磁场系统,货物/通用设备/仪器仪表/分析仪器/物理特性分析仪器及校准仪器,上海交通大学,上海市,2022年01月24日  10:50,"2022年01月24日至2022年01月29日, 每日上午:9:30 至 11:30  下午:13:00 至 16:00（北京时间，法定节假日除外）",￥500,上海市共和新路1301号C座110室,2022年02月15日  10:30,上海市共和新路1301号C座111室,￥350.000000万元（人民币）,林佳文、吴乾清,86-21-26065286、86-21-26065275,上海市东川路800号,章老师 86-21-54747172，技术联系人：袁老师 86-13023243456,上海中招招标有限公司,上海市共和新路1301号C座110室,林佳文、吴乾清 86-21-26065286、86-21-26065275、lins32@126.com,购买标书登记表（国际标）.xlsx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548898.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548898.htm
中央广播电视总台数据中心私有云扩充货物-监控及资源系统公开招标公告,数据中心私有云扩充货物-监控及资源系统,"货物/通用设备/计算机设备及软件/输入输出设备/显示设备/其他显示器,货物/通用设备/计算机设备及软件/输入输出设备/显示设备/液晶显示器,货物/通用设备/计算机设备及软件/计算机软件/其他计算机软件",中央广播电视总台,北京市,2022年01月24日  11:03,"2022年01月24日至2022年01月29日, 每日上午:9:00 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥800,wkzb002@qq.com,2022年02月16日  09:00,北京市海淀区三里河路5号五矿大厦D座四层第八会议室,￥403.000000万元（人民币）,石浩人 潘爽,010-68494192/68494325,北京市海淀区复兴路11号,刘老师68508752,五矿国际招标有限责任公司,北京市海淀区三里河路5号五矿大厦,石浩人 潘爽010-68494192/68494325,技术要求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548826.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17548826.htm
国家税务总局蒲城县税务局2022年劳务服务项目公开招标公告,国家税务总局蒲城县税务局2022年劳务服务项目,服务/其他服务,国家税务总局蒲城县税务局,陕西省,2022年01月24日  13:46,"2022年01月24日至2022年01月29日, 每日上午:9:00 至 12:00  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥500,西安市红缨路南口6号均明拍卖广场4层,2022年02月16日  14:30,西安市红缨路南口6号均明拍卖广场3层第二会议室,￥230.000000万元（人民币）,陈晶晶 张浥清 马演,029-88411508转8030,陕西省渭南市蒲城县尧山路西段,李老师；电话号码：0913-7200982,陕西正信招标有限公司,西安市红缨路南口6号均明拍卖广场4层,陈晶晶 张浥清 马演；029-88411508转8030,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549538.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549538.htm
武汉大学人事档案数字化加工服务（二期）公开招标公告,武汉大学人事档案数字化加工服务（二期）,服务/信息技术服务/数据处理服务/其他数据处理服务,武汉大学,武汉市,2022年01月24日  14:21,"2022年01月25日至2022年01月29日, 每日上午:9:00 至 11:00  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥300,网上报名,2022年02月16日  09:30,湖北省武汉市东湖新技术开发区高新大道666号国药大厦A20栋（中国医疗器械有限公司大楼）10楼中科器进出口武汉有限公司2号开标室,￥197.000000万元（人民币）,张宇、刘志轩、袁诗、陈文静,（027）84888155，84888156转（859）,武汉市武昌珞珈山,钟老师(027) 68754585,中科器进出口武汉有限公司,湖北省武汉市东湖新技术开发区高新大道666号国药大厦A20栋（中国医疗器械有限公司大楼）10楼中科器进出口武汉有限公司,张宇、刘志轩、袁诗、陈文静（027）84888155，84888156转（859）,项目报名表.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549580.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549580.htm
中国科学技术馆2022-2025年电梯维保项目公开招标公告,中国科学技术馆2022-2025年电梯维保项目,服务/维修和保养服务/空调、电梯维修和保养服务,中国科学技术馆,北京市,2022年01月24日  15:03,"2022年01月24日至2022年01月29日, 每日上午:9:30 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥600,北京市海淀区三里河路5号中国五矿集团D座206室（本项目采购文件一律通过线上购买方式获取，如带来不便敬请谅解。）,2022年02月15日  09:30,北京市海淀区三里河路5号中国五矿集团D座四层会议室,￥82.000000万元（人民币）,梁敬保、潘爽、席桥,010-88821634、68494325、88821635（发售文件）,北京市朝阳区北辰东路5号,王长军010-59041399,五矿国际招标有限责任公司,北京市海淀区三里河路5号中国五矿集团D座206室,梁敬保、潘爽、席桥/010-88821634、68494325、88821635（发售文件）,电梯-技术需求.pdf-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549817.htm,购买登记表-（开票通知单）(专票到付）.xls-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549817.htm
中国信息通信研究院国家顶级节点备份服务系统—国拨资金（后补助）(20200150)【二次重新】公开招标公告,国家顶级节点备份服务系统—国拨资金（后补助）(20200150),货物/通用设备/计算机设备及软件/计算机网络设备/其他网络设备,中国信息通信研究院,北京市,2022年01月24日  15:09,"2022年01月24日至2022年01月29日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥500,在http://www.365trade.com.cn平台在线报名,2022年02月16日  09:30,中招国际招标有限公司会议室（北京海淀区学院南路62号中关村资本大厦六层第六会议室）,￥400.000000万元（人民币）,沈子莫,010-62108212,北京市海淀区花园北路52号,韩佳  010-62308390,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦6层和9层,沈子莫  010-62108212,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549881.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220124_17549881.htm
